# 江苏电信 IP速度测试结果 - 有效IP 8/16
# 测试时间: 2026-03-02 02:10:24
# IP:端口 速度 连接时间(ms)
222.94.25.56:8888 103.9KB/s (ping:199ms)
117.86.48.47:7777 98.8KB/s (ping:207ms)
114.226.7.98:18888 97.9KB/s (ping:205ms)
121.237.245.83:8888 97.9KB/s (ping:205ms)
114.222.8.102:8001 95.9KB/s (ping:228ms)
49.74.72.204:8888 94.7KB/s (ping:199ms)
117.82.88.137:5555 94.4KB/s (ping:206ms)
117.90.228.109:6000 86.6KB/s (ping:205ms)

# 失败统计 (8个):
# 222.94.115.225:7000 - 不可用
# 49.76.111.135:31 - 链接超时
# 49.76.111.135:992 - 链接超时
# 49.76.111.135:7014 - 链接超时
# 49.76.111.135:49152 - 链接超时
# 49.76.111.135:5820 - 链接超时
# 49.76.111.135:19530 - 链接超时
# 49.76.111.135:10002 - 链接超时
