# 湖北电信 IP速度测试结果 - 有效IP 8/12
# 测试时间: 2026-03-02 02:08:30
# IP:端口 速度 连接时间(ms)
27.17.213.212:8888 102.5KB/s (ping:222ms)
27.18.50.220:8888 99.0KB/s (ping:205ms)
171.83.103.119:9999 97.4KB/s (ping:220ms)
221.233.51.70:8883 93.8KB/s (ping:222ms)
171.114.229.140:6868 91.2KB/s (ping:223ms)
219.139.231.239:10001 90.1KB/s (ping:207ms)
221.232.40.13:8888 89.0KB/s (ping:214ms)
221.232.41.214:8888 42.9KB/s (ping:224ms)

# 失败统计 (4个):
# 27.18.35.140:6868 - 链接错误
# 221.232.103.76:8989 - 链接错误
# 221.233.31.36:9999 - 链接超时
# 119.100.146.108:10000 - 链接超时
